# Rime table
# coding: utf-8
#@/db_name	custom_phrase.txt
#@/db_type	tabledb
#
# 自定义短语
# 可为方案增加一些要置顶的词汇及短语，例如邮箱、手机号、常用短语等等。编码可以随便起，不限于拼音。
#
# 适用于全拼。双拼默认为 custom_phrase_double.txt 需要手动创建，并更改上面的 db_name 为 custom_phrase_double.txt
#
# 以下固定的词汇及顺序纯属个人偏好，仅作示例，
# 可以增加自己的 .txt 文件，并在方案的 custom_phrase/user_dict 指定为自己的文件。
#
# 以 Tab 分割：词汇<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以只建议固定非完整拼音的编码，如果需求是置顶指定拼音的候选项，请参考方案中的 pin_cand_filter。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，如 Amazon 被纠错为「a ma zong 阿妈粽」，期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2024-03-12"
#
# 此行之后不能写注释

zHon	zhon

十一	oouy
十二	ooue
十三	oous
十四	ooud
十五	oouw
十六	ooul
十七	oouq
十八	ooub
十九	oouj
二十	ooeu
二十一	ooey
二十二	ooee
二十三	ooes
二十四	ooed
二十五	ooew
二十六	ooel
二十七	ooeq
二十八	ooeb
二十九	ooej
三十	oosu
三十一	oosy
三十二	oose
三十三	ooss
三十四	oosd
三十五	oosw
三十六	oosl
三十七	oosq
三十八	oosb
三十九	oosj
四十	oodu
四十一	oody
四十二	oode
四十三	oods
四十四	oodd
四十五	oodw
四十六	oodl
四十七	oodq
四十八	oodb
四十九	oodj
五十	oowu
五十一	oowy
五十二	oowe
五十三	oows
五十四	oowd
五十五	ooww
五十六	oowl
五十七	oowq
五十八	oowb
五十九	oowj
六十	oolu
六十一	ooly
六十三	ools
六十四	oold
六十五	oolw
六十六	ooll
六十七	oolq
六十八	oolb
六十九	oolj
七十	ooqu
七十一	ooqy
七十二	ooqe
七十三	ooqs
七十四	ooqd
七十五	ooqw
七十六	ooql
七十七	ooqq
七十八	ooqb
七十九	ooqj
八十	oobu
八十一	ooby
八十二	oobe
八十三	oobs
八十四	oobd
八十五	oobw
八十六	oobl
八十七	oobq
八十八	oobb
八十九	oobj
九十	ooju
九十一	oojy
九十二	ooje
九十三	oojs
九十四	oojd
九十五	oojw
九十六	oojl
九十七	oojq
九十八	oojb
九十九	oojj
